# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     62     38     55      0      0      0      0      0      0   1593    210 
    0     62     38     55      0      0      0      0      0      0   1593    210 
    0     62     38     55      0      0      0      0      0      0   1593    210 
    0     62     38     55      0      0      0      0      0      0   1593    210 
    0     62     38     55      0      0      0      0      0      0   1593    210 
    0     62     38     55      0      0      0      0      0      0   1593    825 
    0     81     39     54     40      3      0      0      0      0   1593    960 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     80     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     39      2      0      0      0      0   1593    975 
    0     80     39     55     39      2      0      0      0      0   1593    975 
    0     81     39     55     40      2      0      0      0      0   1593    960 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     78     39     55     27      2      0      0      0      0   1593    945 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     39      3      0      0      0      0   1593    975 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     81     39     54     39      3      0      0      0      0   1593    975 
    0     81     39     55     39      3      0      0      0      0   1593    975 
    0     81     39     55     39      3      0      0      0      0   1593    975 
    0     81     39     55     39      2      0      0      0      0   1593    975 
    0     81     39     55     39      2      0      0      0      0   1593    960 
    0     81     39     55     39      2      0      0      0      0   1593    960 
    0     81     39     55     40      3      0      0      0      0   1593    960 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     39      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     39      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     54     39      2      0      0      0      0   1593    975 
    0     71     39     54     39      3      0      0      0      0   1593    945 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     39      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     56     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     39      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     54     39      3      0      0      0      0   1593    975 
    0     81     39     56     39      2      0      0      0      0   1593    975 
    0     81     39     55     40      2      0      0      0      0   1593    960 
    0     81     39     55     39      2      0      0      0      0   1593    960 
    0     81     39     55     40      3      0      0      0      0   1593    960 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     80     39     55     38      2      0      0      0      0   1593    975 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     80     39     55     38      2      0      0      0      0   1593    960 
    0     80     39     56     39      2      0      0      0      0   1593    945 
    0     80     39     56     39      2      0      0      0      0   1593    945 
    0     81     39     55     40      3      0      0      0      0   1593    975 
    0     81     40     55     40      3      0      0      0      0   1593    975 
    0     81     40     56     40      3      0      0      0      0   1593    975 
    0     81     39     55     39      3      0      0      0      0   1593    975 
    0     80     39     55     40      3      0      0      0      0   1593    975 
    0     80     39     55     38      2      0      0      0      0   1593    975 
    0     80     39     56     39      2      0      0      0      0   1593    945 
    0     81     39     55     40      2      0      0      0      0   1593    945 
