# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     61     37     53      0      0      0      0      0      0   1593    210 
    0     61     37     53      0      0      0      0      0      0   1593    210 
    0     61     37     53      0      0      0      0      0      0   1593    210 
    0     61     37     54      0      0      0      0      0      0   1593    210 
    0     61     37     54      0      0      0      0      0      0   1593    210 
    0     61     37     54      0      0      0      0      0      0   1593    210 
    0     61     37     53      0      0      0      0      0      0   1593    825 
    0     86     38     54     41      3      0      0      0      0   1593   1080 
    0     86     38     54     39      3      0      0      0      0   1593   1080 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     86     38     53     40      3      0      0      0      0   1593   1065 
    0     86     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     53     40      3      0      0      0      0   1593   1065 
    0     86     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     86     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     53     40      3      0      0      0      0   1593   1050 
    0     86     38     53     40      3      0      0      0      0   1593   1065 
    0     86     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     53     40      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1050 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     86     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     54     40      3      0      0      0      0   1593   1065 
    0     86     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     54     40      3      0      0      0      0   1593   1065 
    0     87     38     54     40      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     54     40      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     84     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     54     40      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     53     40      3      0      0      0      0   1593   1065 
    0     87     38     54     40      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1050 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     53     40      3      0      0      0      0   1593   1050 
    0     86     38     54     40      3      0      0      0      0   1593   1050 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     54     41      3      0      0      0      0   1593   1050 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     54     40      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     87     38     53     39      3      0      0      0      0   1593   1065 
    0     86     38     54     40      3      0      0      0      0   1593   1065 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     55     40      3      0      0      0      0   1593   1050 
    0     87     38     53     40      3      0      0      0      0   1593   1050 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     86     38     54     40      3      0      0      0      0   1593   1050 
    0     86     38     54     40      3      0      0      0      0   1593   1050 
    0     86     38     54     39      3      0      0      0      0   1593   1050 
    0     86     38     54     41      3      0      0      0      0   1593   1050 
    0     87     38     54     39      3      0      0      0      0   1593   1065 
    0     86     38     54     39      3      0      0      0      0   1593   1065 
