# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     72     37     52     36      1      0      0      0      0   1593    855 
    0     72     37     52     40      1      0      0      0      0   1593    855 
    0     72     37     52     39      1      0      0      0      0   1593    855 
    0     72     37     53     40      1      0      0      0      0   1593    855 
    0     72     37     52     40      1      0      0      0      0   1593    855 
    0     72     37     52     39      1      0      0      0      0   1593    855 
    0     72     37     53     39      1      0      0      0      0   1593    855 
    0     73     37     53     40      1      0      0      0      0   1593    855 
    0     72     37     53     40      1      0      0      0      0   1593    855 
    0     72     37     53     39      1      0      0      0      0   1593    855 
    0     72     37     53     37      1      0      0      0      0   1593    840 
    0     72     37     53     39      1      0      0      0      0   1593    870 
    0     72     37     53     39      1      0      0      0      0   1593    870 
    0     72     37     53     39      1      0      0      0      0   1593    855 
    0     72     37     53     38      1      0      0      0      0   1593    840 
    0     72     37     54     38      1      0      0      0      0   1593    825 
    0     72     37     53     40      1      0      0      0      0   1593    855 
    0     72     37     54     40      1      0      0      0      0   1593    855 
    0     72     37     54     41      1      0      0      0      0   1593    855 
    0     72     37     53     40      1      0      0      0      0   1593    855 
    0     72     37     54     40      1      0      0      0      0   1593    855 
    0     72     37     54     39      1      0      0      0      0   1593    855 
    0     72     37     53     39      1      0      0      0      0   1593    840 
    0     72     37     54     39      1      0      0      0      0   1593    840 
    0     72     37     53     40      1      0      0      0      0   1593    840 
    0     72     37     54     39      1      0      0      0      0   1593    870 
    0     72     37     53     39      1      0      0      0      0   1593    870 
    0     73     37     54     39      1      0      0      0      0   1593    870 
    0     72     37     52     39      1      0      0      0      0   1593    870 
    0     73     37     53     39      1      0      0      0      0   1593    870 
    0     72     37     54     38      1      0      0      0      0   1593    855 
    0     72     37     53     39      1      0      0      0      0   1593    840 
    0     72     37     53     39      1      0      0      0      0   1593    870 
    0     72     37     53     39      1      0      0      0      0   1593    870 
    0     72     37     53     39      1      0      0      0      0   1593    870 
    0     72     37     53     40      1      0      0      0      0   1593    855 
