# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     53      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     53      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     61     36     52      0      0      0      0      0      0   1593    210 
    0     68     37     52     32      0      0      0      0      0   1593    825 
    0     68     37     54     37      0      0      0      0      0   1593    825 
    0     68     37     52     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
    0     68     37     54     37      0      0      0      0      0   1593    825 
    0     68     37     54     38      0      0      0      0      0   1593    825 
    0     68     37     54     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     52     38      0      0      0      0      0   1593    825 
    0     68     37     52     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     54     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     25      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     54     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     38      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
    0     68     37     53     37      0      0      0      0      0   1593    825 
